type,url,parameter,severity,evidence
CSRF,http://testphp.vulnweb.com,,Medium,Form POST sem token
Sensitive Data Exposure,http://testphp.vulnweb.com,,Low,X-Powered-By header
Sensitive Data Exposure,http://testphp.vulnweb.com/hpp/,,Low,X-Powered-By header
CSRF,http://testphp.vulnweb.com/login.php,,Medium,Form POST sem token
CSRF,http://testphp.vulnweb.com/login.php,,Medium,Form POST sem token
Sensitive Data Exposure,http://testphp.vulnweb.com/login.php,,Low,X-Powered-By header
CSRF,http://testphp.vulnweb.com/guestbook.php,,Medium,Form POST sem token
CSRF,http://testphp.vulnweb.com/guestbook.php,,Medium,Form POST sem token
Sensitive Data Exposure,http://testphp.vulnweb.com/guestbook.php,,Low,X-Powered-By header
Sensitive Data Exposure,http://testphp.vulnweb.com/AJAX/index.php,,Low,X-Powered-By header
CSRF,http://testphp.vulnweb.com/disclaimer.php,,Medium,Form POST sem token
Sensitive Data Exposure,http://testphp.vulnweb.com/disclaimer.php,,Low,X-Powered-By header
CSRF,http://testphp.vulnweb.com/index.php,,Medium,Form POST sem token
Sensitive Data Exposure,http://testphp.vulnweb.com/index.php,,Low,X-Powered-By header
CSRF,http://testphp.vulnweb.com/userinfo.php,,Medium,Form POST sem token
CSRF,http://testphp.vulnweb.com/userinfo.php,,Medium,Form POST sem token
Sensitive Data Exposure,http://testphp.vulnweb.com/userinfo.php,,Low,X-Powered-By header
CSRF,http://testphp.vulnweb.com/cart.php,,Medium,Form POST sem token
Sensitive Data Exposure,http://testphp.vulnweb.com/cart.php,,Low,X-Powered-By header
