type,url,parameter,severity,evidence
CSRF,http://testphp.vulnweb.com,form,Medium,Form without CSRF token
Sensitive Data Exposure,http://testphp.vulnweb.com,content,High,Found pattern: wvs@acun...
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,searchFor,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,searchFor,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,searchFor,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,searchFor,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,searchFor,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,goButton,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,goButton,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,goButton,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,goButton,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,goButton,High,Padrão de erro SQL encontrado: 'sql'
CSRF,http://testphp.vulnweb.com/index.php,form,Medium,Form without CSRF token
Sensitive Data Exposure,http://testphp.vulnweb.com/index.php,content,High,Found pattern: wvs@acun...
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,searchFor,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,searchFor,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,searchFor,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,searchFor,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,searchFor,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,goButton,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,goButton,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,goButton,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,goButton,High,Padrão de erro SQL encontrado: 'sql'
SQL Injection,http://testphp.vulnweb.com/search.php?test=query,goButton,High,Padrão de erro SQL encontrado: 'sql'
